registro_ans,fonte
337374,Cooperativa Médica
337498,Cooperativa Médica
337510,Medicina de Grupo
337561,Cooperativa Médica
337668,Cooperativa Médica
337714,Medicina de Grupo
337781,Medicina de Grupo
337871,Cooperativa Médica
338206,Medicina de Grupo
338214,Filantropia
338346,Medicina de Grupo
338362,Medicina de Grupo
338559,Cooperativa Médica
338613,Autogestão
338648,Autogestão
338915,Autogestão
339032,Medicina de Grupo
339091,Medicina de Grupo
339245,Medicina de Grupo
339270,Autogestão
339539,Filantropia
339601,Medicina de Grupo
339636,Autogestão
339679,Cooperativa Médica
339750,Medicina de Grupo
339954,Filantropia
340065,Autogestão
340146,Medicina de Grupo
340162,Medicina de Grupo
340251,Cooperativa Médica
340561,Medicina de Grupo
340782,Medicina de Grupo
340936,Medicina de Grupo
340952,Cooperativa Médica
341371,Autogestão
341819,Cooperativa Médica
341941,Medicina de Grupo
342033,Medicina de Grupo
342084,Cooperativa Médica
342131,Cooperativa Médica
342157,Cooperativa Médica
342343,Cooperativa Médica
342386,Cooperativa Médica
342408,Medicina de Grupo
342467,Medicina de Grupo
342505,Medicina de Grupo
342556,Filantropia
342611,Autogestão
342637,Autogestão
342807,Filantropia
342858,Autogestão
342955,Medicina de Grupo
343013,Medicina de Grupo
343064,Medicina de Grupo
343129,Autogestão
343153,Cooperativa Médica
343269,Cooperativa Médica
343315,Cooperativa Médica
343331,Autogestão
343340,Autogestão
343463,Medicina de Grupo
343676,Medicina de Grupo
343684,Cooperativa Médica
343722,Cooperativa Médica
343731,Cooperativa Médica
343765,Cooperativa Médica
343811,Medicina de Grupo
343871,Autogestão
343889,Cooperativa Médica
343901,Autogestão
344010,Autogestão
344141,Cooperativa Médica
344150,Cooperativa Médica
344184,Autogestão
344362,Medicina de Grupo
344397,Cooperativa Médica
344443,Medicina de Grupo
344699,Autogestão
344729,Cooperativa Médica
344788,Cooperativa Médica
344800,Medicina de Grupo
344885,Cooperativa Médica
344915,Filantropia
345091,Filantropia
345164,Autogestão
345270,Cooperativa Médica
345458,Cooperativa Médica
345474,Autogestão
345598,Cooperativa Médica
345628,Autogestão
345695,Autogestão
345709,Cooperativa Médica
345741,Filantropia
345776,Cooperativa Médica
346209,Cooperativa Médica
346276,Cooperativa Médica
346292,Medicina de Grupo
346390,Autogestão
346403,Autogestão
346471,Medicina de Grupo
346659,Autogestão
346870,Medicina de Grupo
346926,Autogestão
346951,Cooperativa Médica
347108,Cooperativa Médica
347230,Cooperativa Médica
347361,Cooperativa Médica
347507,Cooperativa Médica
347591,Medicina de Grupo
347655,Filantropia
347736,Cooperativa Médica
347744,Medicina de Grupo
347825,Autogestão
348066,Cooperativa Médica
348082,Cooperativa Médica
348180,Medicina de Grupo
348244,Cooperativa Médica
348261,Cooperativa Médica
348295,Cooperativa Médica
348406,Cooperativa Médica
348520,Medicina de Grupo
348732,Medicina de Grupo
348805,Medicina de Grupo
348830,Medicina de Grupo
348864,Medicina de Grupo
348899,Cooperativa Médica
349127,Medicina de Grupo
349194,Medicina de Grupo
349534,Cooperativa Médica
349682,Medicina de Grupo
349712,Cooperativa Médica
349739,Cooperativa Médica
349755,Medicina de Grupo
349844,Autogestão
350095,Medicina de Grupo
350141,Medicina de Grupo
350249,Medicina de Grupo
350338,Filantropia
350346,Cooperativa Médica
350362,Medicina de Grupo
350371,Cooperativa Médica
350648,Cooperativa Médica
350699,Medicina de Grupo
350729,Medicina de Grupo
351091,Medicina de Grupo
351202,Cooperativa Médica
351270,Medicina de Grupo
351407,Cooperativa Médica
351644,Medicina de Grupo
351679,Filantropia
351695,Filantropia
351776,Cooperativa Médica
351792,Cooperativa Médica
352055,Medicina de Grupo
352179,Cooperativa Médica
352187,Filantropia
352314,Cooperativa Médica
352331,Autogestão
352501,Cooperativa Médica
352519,Cooperativa Médica
352543,Cooperativa Médica
352586,Medicina de Grupo
352683,Cooperativa Médica
352861,Cooperativa Médica
352888,Autogestão
353027,Cooperativa Médica
353060,Cooperativa Médica
353264,Filantropia
353353,Cooperativa Médica
353574,Cooperativa Médica
353663,Cooperativa Médica
353698,Cooperativa Médica
353761,Autogestão
353876,Cooperativa Médica
354031,Cooperativa Médica
354066,Cooperativa Médica
354279,Cooperativa Médica
354295,Cooperativa Médica
354325,Cooperativa Médica
354350,Filantropia
354511,Medicina de Grupo
354554,Medicina de Grupo
354562,Filantropia
354571,Autogestão
354619,Cooperativa Médica
354627,Cooperativa Médica
354678,Cooperativa Médica
354783,Cooperativa Médica
354996,Cooperativa Médica
355071,Autogestão
355097,Medicina de Grupo
355135,Autogestão
355151,Autogestão
355241,Medicina de Grupo
355356,Cooperativa Médica
355577,Cooperativa Médica
355593,Cooperativa Médica
355691,Cooperativa Médica
355721,Cooperativa Médica
355879,Medicina de Grupo
355950,Filantropia
356107,Cooperativa Médica
356123,Cooperativa Médica
356140,Autogestão
356191,Cooperativa Médica
356212,Cooperativa Médica
356417,Cooperativa Médica
356476,Autogestão
356573,Medicina de Grupo
356581,Cooperativa Médica
356891,Autogestão
357014,Medicina de Grupo
357022,Cooperativa Médica
357065,Cooperativa Médica
357138,Cooperativa Médica
357227,Filantropia
357260,Cooperativa Médica
357383,Filantropia
357391,Cooperativa Médica
357511,Medicina de Grupo
357669,Autogestão
357685,Medicina de Grupo
357715,Cooperativa Médica
357910,Autogestão
357987,Autogestão
358053,Medicina de Grupo
358088,Cooperativa Médica
358096,Cooperativa Médica
358126,Medicina de Grupo
358169,Cooperativa Médica
358282,Cooperativa Médica
358410,Autogestão
358509,Medicina de Grupo
358711,Medicina de Grupo
358720,Autogestão
358744,Medicina de Grupo
358754,Autogestão
359017,Medicina de Grupo
359033,Cooperativa Médica
359068,Medicina de Grupo
359122,Autogestão
359289,Cooperativa Médica
359521,Autogestão
359661,Medicina de Grupo
359777,Cooperativa Médica
360147,Medicina de Grupo
360244,Medicina de Grupo
360414,Cooperativa Médica
360449,Cooperativa Médica
360465,Medicina de Grupo
360481,Medicina de Grupo
360767,Cooperativa Médica
360783,Medicina de Grupo
360961,Medicina de Grupo
361011,Autogestão
361461,Autogestão
361518,Cooperativa Médica
361615,Cooperativa Médica
361836,Medicina de Grupo
361852,Medicina de Grupo
361941,Cooperativa Médica
362140,Cooperativa Médica
362182,Medicina de Grupo
362573,Cooperativa Médica
362620,Cooperativa Médica
362832,Cooperativa Médica
363111,Filantropia
363189,Medicina de Grupo
363286,Cooperativa Médica
363391,Medicina de Grupo
363413,Autogestão
363511,Filantropia
363685,Filantropia
363766,Medicina de Grupo
363774,Cooperativa Médica
363855,Autogestão
363944,Cooperativa Médica
364070,Cooperativa Médica
364312,Cooperativa Médica
364584,Cooperativa Médica
364592,Medicina de Grupo
364860,Cooperativa Médica
364941,Medicina de Grupo
365238,Cooperativa Médica
365351,Medicina de Grupo
365530,Cooperativa Médica
365645,Medicina de Grupo
365777,Cooperativa Médica
366064,Cooperativa Médica
366145,Cooperativa Médica
366234,Autogestão
366340,Cooperativa Médica
366366,Autogestão
366455,Autogestão
366561,Medicina de Grupo
366811,Cooperativa Médica
366871,Autogestão
367087,Cooperativa Médica
367095,Medicina de Grupo
367397,Cooperativa Médica
367486,Filantropia
367613,Cooperativa Médica
367729,Medicina de Grupo
367877,Autogestão
368130,Medicina de Grupo
368148,Cooperativa Médica
368253,Medicina de Grupo
368415,Medicina de Grupo
368849,Medicina de Grupo
368920,Autogestão
369012,Medicina de Grupo
369233,Cooperativa Médica
369292,Cooperativa Médica
369373,Medicina de Grupo
369411,Cooperativa Médica
369659,Cooperativa Médica
370070,Cooperativa Médica
370088,Cooperativa Médica
370258,Medicina de Grupo
370321,Autogestão
370363,Medicina de Grupo
370584,Medicina de Grupo
370592,Medicina de Grupo
370681,Cooperativa Médica
370975,Cooperativa Médica
371106,Cooperativa Médica
371254,Cooperativa Médica
371564,Cooperativa Médica
371629,Cooperativa Médica
371777,Cooperativa Médica
372404,Filantropia
372561,Cooperativa Médica
372609,Medicina de Grupo
372960,Medicina de Grupo
373010,Medicina de Grupo
373141,Medicina de Grupo
374300,Autogestão
374903,Medicina de Grupo
375268,Medicina de Grupo
376604,Medicina de Grupo
376663,Medicina de Grupo
378038,Filantropia
378216,Autogestão
379280,Medicina de Grupo
379778,Cooperativa Médica
379956,Medicina de Grupo
380661,Autogestão
381161,Medicina de Grupo
381799,Autogestão
382108,Autogestão
382281,Medicina de Grupo
382540,Medicina de Grupo
382639,Autogestão
382833,Autogestão
382868,Medicina de Grupo
382876,Cooperativa Médica
383317,Autogestão
383520,Cooperativa Médica
383945,Medicina de Grupo
384003,Medicina de Grupo
384054,Filantropia
384356,Medicina de Grupo
384577,Cooperativa Médica
384585,Medicina de Grupo
384704,Autogestão
385255,Medicina de Grupo
385620,Cooperativa Médica
385697,Autogestão
385751,Cooperativa Médica
386588,Cooperativa Médica
386596,Cooperativa Médica
386871,Autogestão
386898,Medicina de Grupo
386901,Cooperativa Médica
387185,Autogestão
387495,Medicina de Grupo
388092,Autogestão
389421,Cooperativa Médica
390178,Filantropia
390259,Autogestão
390372,Autogestão
392391,Medicina de Grupo
392405,Autogestão
392804,Medicina de Grupo
393321,Cooperativa Médica
393533,Autogestão
394271,Filantropia
394734,Medicina de Grupo
395480,Medicina de Grupo
400190,Medicina de Grupo
400319,Filantropia
400360,Filantropia
400742,Filantropia
400785,Medicina de Grupo
400891,Autogestão
401081,Medicina de Grupo
401137,Filantropia
401196,Medicina de Grupo
401480,Medicina de Grupo
401846,Medicina de Grupo
401960,Autogestão
402001,Medicina de Grupo
402036,Medicina de Grupo
402052,Autogestão
402141,Medicina de Grupo
402206,Autogestão
402265,Autogestão
402303,Medicina de Grupo
402346,Medicina de Grupo
402354,Medicina de Grupo
402362,Medicina de Grupo
402478,Medicina de Grupo
402541,Medicina de Grupo
402583,Medicina de Grupo
402770,Medicina de Grupo
402796,Medicina de Grupo
402834,Cooperativa Médica
402851,Medicina de Grupo
402893,Medicina de Grupo
402923,Filantropia
402966,Medicina de Grupo
402991,Medicina de Grupo
403130,Medicina de Grupo
403237,Medicina de Grupo
403334,Medicina de Grupo
403369,Medicina de Grupo
403407,Autogestão
403580,Filantropia
403784,Medicina de Grupo
403814,Autogestão
403849,Medicina de Grupo
403911,Medicina de Grupo
403920,Filantropia
403962,Medicina de Grupo
404047,Medicina de Grupo
404152,Autogestão
404241,Autogestão
404527,Medicina de Grupo
404543,Medicina de Grupo
404888,Medicina de Grupo
404993,Medicina de Grupo
405051,Medicina de Grupo
405086,Medicina de Grupo
405141,Medicina de Grupo
405281,Medicina de Grupo
405639,Medicina de Grupo
405795,Medicina de Grupo
406201,Medicina de Grupo
406210,Medicina de Grupo
406457,Filantropia
406554,Filantropia
406589,Medicina de Grupo
406635,Autogestão
406643,Medicina de Grupo
406708,Medicina de Grupo
406805,Medicina de Grupo
406813,Autogestão
406937,Autogestão
406945,Autogestão
407011,Medicina de Grupo
407062,Cooperativa Médica
407097,Autogestão
407224,Medicina de Grupo
407534,Medicina de Grupo
407542,Medicina de Grupo
407551,Medicina de Grupo
407569,Autogestão
407593,Medicina de Grupo
407607,Medicina de Grupo
407623,Medicina de Grupo
407755,Medicina de Grupo
407844,Medicina de Grupo
407968,Medicina de Grupo
408026,Autogestão
408034,Autogestão
408093,Autogestão
408221,Medicina de Grupo
408263,Autogestão
408280,Medicina de Grupo
408506,Filantropia
408514,Filantropia
408522,Filantropia
408531,Medicina de Grupo
408581,Medicina de Grupo
408662,Medicina de Grupo
408794,Autogestão
408824,Filantropia
408867,Medicina de Grupo
408883,Medicina de Grupo
409049,Autogestão
409189,Medicina de Grupo
409235,Medicina de Grupo
409243,Autogestão
409286,Medicina de Grupo
409405,Autogestão
409413,Autogestão
409464,Medicina de Grupo
409634,Medicina de Grupo
409707,Medicina de Grupo
409839,Filantropia
409995,Cooperativa Médica
410047,Medicina de Grupo
410110,Autogestão
410128,Autogestão
410161,Medicina de Grupo
410179,Medicina de Grupo
410187,Autogestão
410225,Autogestão
410292,Filantropia
410322,Autogestão
410365,Filantropia
